Timestamp	Currency	Exchange to Buy From	Wallet Status	Exchange to Sell On	Wallet Status	Profit	Volume Limit (USD)
2018-07-05 14:53:19.650982	ONT/USDT	binance	No Wallet Data	huobipro	Wallet Online	1.0506773920406436	10903.55795
2018-07-11 13:44:43.812410	BNT/USDT	hitbtc	No Wallet Data	liqui	No Wallet Data	1.0704545196451674	4264.9294044
2018-07-11 13:44:58.726805	STX/BTC	hitbtc2	Wallet Online	liqui	No Wallet Data	1.1594871794871795	982.6596265256135
